"Timestamp","I do research or industrial practice in:","My work on content-based music data focuses, or will focus, on:","Besides the actual music content, when I work with music-related data, this typically includes/involves:","I have encountered the need for chord datasets providing high-quality and timed annotations of harmonic progressions, covering one or more genres and styles."," From my experience, currently existing chord datasets (with high-quality and timed annotations) are of sufficient size for my practice, and I would see little value in having larger chord datasets.","From my experience, currently existing chord datasets do not provide content metadata (information about each song being annotated) sufficiently rich and informative to my needs/interests.","From my experience, currently existing chord datasets rarely provide links to external resources (e.g. MusicBrainz, Wikidata, YouTube videos, etc.).","I think that the Semantic Web community would benefit from a large collection of quality chord annotations that can be linked to existing Web resources and music knowledge graphs.","I think that the MIR community would benefit from a large collection of diverse, quality chord annotations, consistently aligned to/across different notations, which can be used for analytical and/or computational purposes (e.g. pattern mining, music similarity, chord recognition, etc.).","I think that the Musicology community would benefit from a large collection of diverse, quality chord annotations that can be used for analytical purposes and large scale studies (e.g. tracing influence among artists, running complex queries entailing specific properties of chords in addition to their label).","Overall, I would be interested in using a large corpus of diverse, timed, and quality chord annotations that is released in such a way as to accommodate both the interests and needs of Semantic Web and/or Music Technology practitioners (e.g. JAMS and RDF).","Please, provide a short description of how you would be using chord data in your work (e.g. knowledge discovery, chord recognition. etc.).","If you have further comments, please write them below. Thank you for your time!"
"2022/04/28 9:09:00 am GMT","Music Information Retrieval (MIR);Musicology","Symbolic music (e.g. MusicXML)","Structured data (e.g CSV, JSON, etc.);Unstructured data from the Web (e.g. text, web pages, etc.)","5","2","3","5","","5","5","5","Every music analysis task that could benefit from it (in my case cadence detection and local key estimation). Would be useful to train neural networks. ",""
"2022/04/28 9:11:09 am GMT","Music Information Retrieval (MIR)","Audio music","Structured data (e.g CSV, JSON, etc.);Unstructured data from the Web (e.g. text, web pages, etc.)","1","3","3","3","4","4","4","4","",""
"2022/04/28 9:17:37 am GMT","Musicology","Symbolic music (e.g. MusicXML)","Databases (e.g. MusicBrainz, Genius, etc.)","4","5","3","5","4","4","4","3","Analysis",""
"2022/04/28 9:20:58 am GMT","Semantic Web;Music Information Retrieval (MIR)","Audio music;Symbolic music (e.g. MusicXML)","RDF data","5","2","4","3","5","5","5","5","for the interaction between smart musical instruments and musical content, in particular to retrieve content from repositories using query by playing, see Turchet, L., Pauwels, J., Fischione, C., & Fazekas, G. (2020). Cloud-smart musical instrument interactions: Querying a large music collection with a smart guitar. ACM Transactions on Internet of Things, 1(3), 1-29.",""
"2022/04/28 9:33:49 am GMT","Music Information Retrieval (MIR);Musicology","Symbolic music (e.g. MusicXML);Both, jointly (e.g. multi-modal analyses);Tablatures","RDF data;Structured data (e.g CSV, JSON, etc.);Unstructured data from the Web (e.g. text, web pages, etc.);Databases (e.g. MusicBrainz, Genius, etc.);MEI, MIDI,","5","1","3","3","5","5","5","5","Polyphonic music information retrieval; audio/symbolic alignment","Some parts of this survey are a little strangely worded - I mean the switch from positive to negative statements to be ranked from Strongly disagree to Strongly agree; this might trip some participants up!"
"2022/04/28 9:43:35 am GMT","Semantic Web;Music Information Retrieval (MIR);Musicology","Audio music;Symbolic music (e.g. MusicXML);Both, jointly (e.g. multi-modal analyses)","Structured data (e.g CSV, JSON, etc.);Databases (e.g. MusicBrainz, Genius, etc.)","5","1","5","5","5","5","5","5","",""
"2022/04/28 9:52:03 am GMT","Musicology","Symbolic music (e.g. MusicXML)","Structured data (e.g CSV, JSON, etc.)","4","3","4","2","","","4","4","",""
"2022/04/28 9:53:31 am GMT","Music Information Retrieval (MIR)","Audio music;Symbolic music (e.g. MusicXML)","Structured data (e.g CSV, JSON, etc.);Unstructured data from the Web (e.g. text, web pages, etc.);Databases (e.g. MusicBrainz, Genius, etc.)","3","1","4","3","","4","4","4","I would like to use it for content-based music recommendation.",""
"2022/04/28 10:16:56 am GMT","Semantic Web;Musicology","Symbolic music (e.g. MusicXML)","Structured data (e.g CSV, JSON, etc.);Unstructured data from the Web (e.g. text, web pages, etc.);Databases (e.g. MusicBrainz, Genius, etc.)","4","3","3","2","4","4","4","4","",""
"2022/04/28 11:06:15 am GMT","Music Information Retrieval (MIR);Musicology","Audio music;Symbolic music (e.g. MusicXML);Both, jointly (e.g. multi-modal analyses)","Structured data (e.g CSV, JSON, etc.);Unstructured data from the Web (e.g. text, web pages, etc.);Databases (e.g. MusicBrainz, Genius, etc.)","3","3","5","2","","5","5","5","",""
"2022/04/28 12:06:44 pm GMT","music theory","Audio music;Symbolic music (e.g. MusicXML)","Structured data (e.g CSV, JSON, etc.)","4","2","3","4","","5","5","2","",""
"2022/04/28 12:43:17 pm GMT","Music Information Retrieval (MIR)","Audio music","Structured data (e.g CSV, JSON, etc.);Unstructured data from the Web (e.g. text, web pages, etc.)","5","2","4","4","","4","","3","chord recognition in popular music of the third world",""
"2022/04/28 12:56:41 pm GMT","Music Information Retrieval (MIR);Musicology","Audio music;Symbolic music (e.g. MusicXML)","Structured data (e.g CSV, JSON, etc.)","5","1","3","3","","5","5","4","",""
"2022/04/28 1:12:47 pm GMT","Music Information Retrieval (MIR);Musicology","Symbolic music (e.g. MusicXML);working directly with f0 contours drawn from audio","Structured data (e.g CSV, JSON, etc.);Unstructured data from the Web (e.g. text, web pages, etc.);Databases (e.g. MusicBrainz, Genius, etc.);expert labelled data; data from surveys","5","3","4","4","3","5","5","5","all of the above (computational musicology and/or music perception and cognition research; MIR)","I have a PhD student clearly with interests in the same area. I will get him to reach out!"
"2022/04/28 2:24:58 pm GMT","Music Information Retrieval (MIR);Musicology","Audio music;Symbolic music (e.g. MusicXML)","RDF data;Structured data (e.g CSV, JSON, etc.);Unstructured data from the Web (e.g. text, web pages, etc.);Databases (e.g. MusicBrainz, Genius, etc.)","2","2","4","4","5","5","5","5","Hi, I've never used chord data so it was hard to answer some of your questions. But interesting research ideas have often arisen in my mind, such as:  what genres of music deploy extensions; how does progression relate to genre, or period; etc.  On the other hand as an ethnomusicologist I also recognize that the concept of ""chord"" isn't relevant to all musics, so maybe what is required is polyphonic symbolic representation of many kinds of music, derived either from audio or from various notational representations (lead sheet, score, tabs...), without assuming adherence to a 12ET gamut; from this data chord information could be gleaned. Of course if chords are already firmly embedded in the style - for instance lead sheets and charts emblazoned with chord symbols - then this information would be included.  It's not the same for Central African Ba Mbuti chants...",""
"2022/04/28 2:50:50 pm GMT","Music interaction","Chord sequences in human readable notations, Audio, midi","motion data, spatial analyses of harmony","5","3","3","3","4","4","4","4","Developing new theoretical accounts of harmony is popular music, spatial analyses of harmony sequences , understanding contemporary modal harmony ",""
"2022/04/28 3:13:08 pm GMT","Music Information Retrieval (MIR)","Audio music;Symbolic music (e.g. MusicXML)","Structured data (e.g CSV, JSON, etc.)","3","3","3","3","3","4","3","3","cadence recognition, development of tonality",""
"2022/04/28 5:17:45 pm GMT","Music Information Retrieval (MIR)","Audio music;Symbolic music (e.g. MusicXML);Both, jointly (e.g. multi-modal analyses)","Unstructured data from the Web (e.g. text, web pages, etc.);Databases (e.g. MusicBrainz, Genius, etc.)","5","2","4","5","5","5","5","5","Music genre classification, music emotion recognition, music pedagogy. All kinds of things!","I've used the website UkuTabs to scrape chords before, maybe it would help you! Here's two publications that I've done using them: https://ieeexplore.ieee.org/abstract/document/8683735
https://sail.usc.edu/publications/files/SMM19_paper_19.pdf"
"2022/04/28 7:43:29 pm GMT","Music Information Retrieval (MIR);AI","Symbolic music (e.g. MusicXML)","Structured data (e.g CSV, JSON, etc.)","2","3","3","3","","5","","4","Applications in generative music, eg learning a generative model from a corpus.",""
"2022/04/29 7:01:28 am GMT","Music Information Retrieval (MIR)","Audio music;Both, jointly (e.g. multi-modal analyses)","Structured data (e.g CSV, JSON, etc.);Databases (e.g. MusicBrainz, Genius, etc.)","5","1","4","4","4","5","4","5","Evaluating automatic chord recognition systems, studying reliability of annotations, musicological corpus analyses",""
"2022/04/29 8:42:33 am GMT","Semantic Web","bibliographic data","RDF data;Structured data (e.g CSV, JSON, etc.);Unstructured data from the Web (e.g. text, web pages, etc.);Databases (e.g. MusicBrainz, Genius, etc.)","3","4","5","5","5","","","4","To create non-obvious links between RDF entities representing musicians, based on the harmonic similarity of their works",""
"2022/04/29 1:31:47 pm GMT","Semantic Web;Musicology","Symbolic music (e.g. MusicXML)","Unstructured data from the Web (e.g. text, web pages, etc.);This is not entirely clear to me. Is it a matter of specifying here the sources likely to shed light on the musical context explored through the data (audio or symbolic). If so, the paper format should definitely be added and the answers should not be limited to web data only. ","2","2","4","4","2","3","4","4","Personally, I would be interested in identifying the fundamentals and chord morphologies of large corpora from the 19th and 20th centuries, provided that I have concrete information on how the annotations were made (alogirhythms, human annotations) and with theoretical choices documented through examples.","The central problem is that it is not possible in absolute terms to provide a large corpus of diverse, timed, and quality chord annotations, which would be objective, agnostic,  satisfactory for all uses and in phase with all problems. From my point of view, it is necessary to conceive the possibility to have different annotations of the same corpus coexist, these annotations answering different questions and adopting different points of view. The major problem is that these points of view are not just complementary, they can be contradictory and cancel each other out, hence the need to keep track of how they were produced, with what theoretical presuppositions, for what purposes, etc. I'm sure you've thought about this, but I think we should try to take it into account more directly if the tool has the ambition to attract musicologists and analysts and if it has the ambition to assist them in their work. My somewhat hesitant answers above are linked to this state of affairs.    "
"2022/04/30 1:40:19 am GMT","Semantic Web;Music Information Retrieval (MIR)","Audio music;Symbolic music (e.g. MusicXML);Both, jointly (e.g. multi-modal analyses)","Structured data (e.g CSV, JSON, etc.)","4","3","4","2","4","4","4","4","music selection (for performers)",""
"2022/04/30 12:46:55 pm GMT","Music Information Retrieval (MIR)","Both, jointly (e.g. multi-modal analyses)","Structured data (e.g CSV, JSON, etc.);Unstructured data from the Web (e.g. text, web pages, etc.)","5","1","4","5","","4","","5","chord generation",""
"2022/04/30 2:52:57 pm GMT","Semantic Web","Marc, Json","RDF data;Structured data (e.g CSV, JSON, etc.);Doremus data","2","3","3","3","4","4","4","3","",""
"2022/05/01 3:00:31 pm GMT","Semantic Web;Music Information Retrieval (MIR);Musicology","Audio music;Symbolic music (e.g. MusicXML);Both, jointly (e.g. multi-modal analyses)","RDF data;Structured data (e.g CSV, JSON, etc.);Unstructured data from the Web (e.g. text, web pages, etc.);Databases (e.g. MusicBrainz, Genius, etc.)","5","5","5","5","5","5","5","4","",""
"2022/05/02 8:51:49 am GMT","Music Information Retrieval (MIR)","Symbolic music (e.g. MusicXML)","RDF data;Structured data (e.g CSV, JSON, etc.);Unstructured data from the Web (e.g. text, web pages, etc.)","5","3","4","4","","5","","5","",""
"2022/05/02 6:44:10 pm GMT","Music Information Retrieval (MIR);Musicology","Audio music;Symbolic music (e.g. MusicXML);Both, jointly (e.g. multi-modal analyses)","Structured data (e.g CSV, JSON, etc.)","5","1","5","5","3","5","5","5","My work would greatly benefit from chord databases.","no comment."
"2023/01/10 11:42:04 am GMT","Music Information Retrieval (MIR);Musicology;Generative Music","Both, jointly (e.g. multi-modal analyses)","Structured data (e.g CSV, JSON, etc.);Unstructured data from the Web (e.g. text, web pages, etc.);Databases (e.g. MusicBrainz, Genius, etc.)","5","1","4","4","5","5","5","5","",""
"2023/01/10 1:32:27 pm GMT","Music Information Retrieval (MIR);Musicology","Symbolic music (e.g. MusicXML)","Structured data (e.g CSV, JSON, etc.);Databases (e.g. MusicBrainz, Genius, etc.)","4","3","5","5","","4","4","4","knowledge discovery (musicology), automated transcription, automated chord estimation, music generation","I am less concerned with the volume of data than the content. I find the current datasets limited in their content (e.g., Billboard stops at 1991). They are also (for computational musicology purposes) all over the place in terms of annotation practices. I'd also be more concerned with the detail of the annotation process and chord symbol usage. If I disagree with the methodologies I'm unlikely to use it. In my opinion, more data is always better (it can be reduced) but shallow or ambiguous data can't be remedied."
"2023/01/10 6:33:43 pm GMT","Music Information Retrieval (MIR);Musicology","Symbolic music (e.g. MusicXML)","Structured data (e.g CSV, JSON, etc.);Unstructured data from the Web (e.g. text, web pages, etc.)","3","2","4","3","2","5","5","5","I would use chord data for providing harmonic context, e.g., in pattern discovery algorithms.",""
"2023/01/14 4:41:32 pm GMT","Musicology","Both, jointly (e.g. multi-modal analyses)","Unstructured data from the Web (e.g. text, web pages, etc.)","5","5","5","4","5","5","5","5","",""
